Etapa,Actividad,Encargado
Análisis,"Si la gravedad del problema es mayor al nivel 2, se llevará el caso al comité de ética. De lo contrario, se seguirán las siguientes etapas.",Un integrante del departamento que no esté involucrado en la situación (preferiblemente)
Apoyo y restablecimiento de seguridad (sólo nivel 2),Platicar con los involucrados por separado para convencerlos de resolver el conflicto de manera pacífica y empática.,Un integrante del departamento que no esté involucrado en la situación (preferiblemente)
Diálogo,Agendar una sesión grupal en la que todos los miembros del equipo comenten lo que está sucediendo y comuniquen sus opiniones de manera pacífica para hacer un consenso. Motivar a que todos participen.,Un integrante del departamento que no esté involucrado en la situación (preferiblemente)
Actividad de integración,Realizar un juego o actividad definidas por el equipo y fuera del departamento con el objetivo de restablecer la confianza.,Un integrante del departamento que no esté involucrado en la situación (preferiblemente)
