Actividad,Etapa,Encargado,Subpractica,Created time,Last edited by,Property
Cada integrante debe de llenar su tabla correspondiente a su criterio de qué valor debe de tener el punto ágil,,Team Leader,RM 1.1,"May 6, 2022 5:58 PM",Luis Edgar Ramírez Pérez,Luis Edgar Ramírez Pérez
Sacar el promedio de los valores puestos por todos los integrantes,,Team Leader,RM 1.1,"May 6, 2022 5:58 PM",Luis Edgar Ramírez Pérez,Luis Edgar Ramírez Pérez
